#Mean of hydro_01m.dat hydro_02m.dat hydro_03m.dat hydro_04m.dat hydro_05m.dat hydro_06m.dat hydro_07m.dat hydro_08m.dat hydro_09m.dat hydro_11m.dat
#Fields: dist.z  meanFes  stdDeviation  stdError
#gnuplot command: plot './mintozeroFes.dat' u 1:2:4 w e
 -0.9600  22.5912   5.2731   1.6675
 -0.9400  23.1080   4.9957   1.5798
 -0.9200  23.6466   4.7555   1.5038
 -0.9000  24.1996   4.6166   1.4599
 -0.8800  24.7520   4.5689   1.4448
 -0.8600  25.3000   4.5411   1.4360
 -0.8400  25.8583   4.4590   1.4101
 -0.8200  26.4475   4.3026   1.3606
 -0.8000  27.0780   4.1013   1.2969
 -0.7800  27.7365   3.9054   1.2350
 -0.7600  28.3870   3.7599   1.1890
 -0.7400  28.9899   3.6966   1.1690
 -0.7200  29.5114   3.7332   1.1805
 -0.7000  29.9465   3.8628   1.2215
 -0.6800  30.3200   4.0348   1.2759
 -0.6600  30.6833   4.1894   1.3248
 -0.6400  31.0914   4.2885   1.3561
 -0.6200  31.5746   4.3401   1.3725
 -0.6000  32.1208   4.3818   1.3857
 -0.5800  32.6787   4.4588   1.4100
 -0.5600  33.1768   4.5965   1.4535
 -0.5400  33.5644   4.7894   1.5145
 -0.5200  33.8230   5.0085   1.5838
 -0.5000  33.9713   5.2136   1.6487
 -0.4800  34.0576   5.3740   1.6994
 -0.4600  34.1334   5.4668   1.7288
 -0.4400  34.2392   5.4871   1.7352
 -0.4200  34.3925   5.4479   1.7228
 -0.4000  34.5864   5.3781   1.7007
 -0.3800  34.7947   5.3115   1.6796
 -0.3600  34.9924   5.2832   1.6707
 -0.3400  35.1554   5.3125   1.6800
 -0.3200  35.2705   5.4002   1.7077
 -0.3000  35.3345   5.5279   1.7481
 -0.2800  35.3517   5.6651   1.7915
 -0.2600  35.3308   5.7810   1.8281
 -0.2400  35.2802   5.8555   1.8517
 -0.2200  35.2121   5.8818   1.8600
 -0.2000  35.1412   5.8638   1.8543
 -0.1800  35.0865   5.8077   1.8366
 -0.1600  35.0683   5.7220   1.8094
 -0.1400  35.1009   5.6207   1.7774
